Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-12-06,12:50 AM,37 °F,36 °F,93 %,VAR,2 mph,0 mph,29.90 in,0.0 in,
2017-12-06,1:20 AM,37 °F,34 °F,87 %,WSW,5 mph,0 mph,29.90 in,0.0 in,
2017-12-06,1:50 AM,39 °F,36 °F,87 %,W,7 mph,0 mph,29.90 in,0.0 in,
2017-12-06,2:20 AM,37 °F,36 °F,93 %,NNE,3 mph,0 mph,29.90 in,0.0 in,
2017-12-06,2:50 AM,37 °F,36 °F,93 %,ENE,6 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,3:20 AM,37 °F,34 °F,87 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,3:50 AM,37 °F,36 °F,93 %,CALM,0 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,4:20 AM,37 °F,36 °F,93 %,VAR,1 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,4:50 AM,37 °F,36 °F,93 %,VAR,2 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,5:20 AM,39 °F,34 °F,81 %,N,13 mph,0 mph,29.90 in,0.0 in,
2017-12-06,5:50 AM,39 °F,34 °F,81 %,NNE,6 mph,0 mph,29.90 in,0.0 in,
2017-12-06,6:20 AM,37 °F,32 °F,81 %,VAR,2 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,6:50 AM,39 °F,32 °F,75 %,VAR,2 mph,0 mph,29.90 in,0.0 in,Mostly Cloudy
2017-12-06,7:20 AM,39 °F,34 °F,81 %,NNE,7 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,7:50 AM,39 °F,32 °F,75 %,NNE,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,8:20 AM,37 °F,34 °F,87 %,NE,9 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,8:50 AM,39 °F,34 °F,81 %,NNE,3 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-06,9:20 AM,41 °F,32 °F,70 %,NNW,12 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,9:24 AM,41 °F,32 °F,70 %,NNW,14 mph,0 mph,29.96 in,0.0 in,
2017-12-06,9:50 AM,39 °F,34 °F,81 %,N,13 mph,0 mph,29.96 in,0.0 in,
2017-12-06,10:20 AM,39 °F,34 °F,81 %,N,9 mph,0 mph,29.96 in,0.0 in,
2017-12-06,10:50 AM,41 °F,32 °F,70 %,WNW,6 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,11:20 AM,45 °F,34 °F,66 %,VAR,5 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,11:50 AM,43 °F,32 °F,66 %,NNW,14 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,12:20 PM,45 °F,32 °F,61 %,N,9 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2017-12-06,12:50 PM,45 °F,32 °F,61 %,NNW,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,1:20 PM,43 °F,34 °F,70 %,NE,9 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,1:50 PM,43 °F,34 °F,70 %,VAR,5 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,2:20 PM,45 °F,32 °F,61 %,VAR,3 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,2:50 PM,45 °F,30 °F,57 %,W,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,3:20 PM,46 °F,30 °F,53 %,W,8 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-12-06,3:50 PM,46 °F,30 °F,53 %,W,8 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-12-06,4:20 PM,45 °F,32 °F,61 %,W,13 mph,0 mph,29.93 in,0.0 in,Partly Cloudy
2017-12-06,4:50 PM,45 °F,32 °F,61 %,W,10 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,5:20 PM,43 °F,27 °F,53 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,5:50 PM,43 °F,28 °F,57 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2017-12-06,6:20 PM,43 °F,28 °F,57 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,6:50 PM,45 °F,30 °F,57 %,WSW,10 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-06,7:20 PM,45 °F,30 °F,57 %,WSW,12 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,7:50 PM,43 °F,30 °F,61 %,W,9 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,8:20 PM,45 °F,30 °F,57 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,8:50 PM,43 °F,30 °F,61 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,9:20 PM,43 °F,30 °F,61 %,W,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,9:50 PM,43 °F,30 °F,61 %,W,5 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,10:20 PM,45 °F,32 °F,61 %,W,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,10:50 PM,45 °F,32 °F,61 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,11:20 PM,45 °F,34 °F,66 %,W,7 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-06,11:50 PM,45 °F,34 °F,66 %,WNW,7 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,12:20 AM,45 °F,36 °F,71 %,W,6 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,12:50 AM,46 °F,37 °F,71 %,W,8 mph,0 mph,29.96 in,0.0 in,Fair
2017-12-07,1:20 AM,46 °F,37 °F,71 %,WSW,12 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,1:50 AM,46 °F,37 °F,71 %,WSW,14 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,2:20 AM,46 °F,37 °F,71 %,WSW,10 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,2:50 AM,46 °F,37 °F,71 %,W,12 mph,0 mph,29.93 in,0.0 in,Fair
2017-12-07,3:20 AM,46 °F,37 °F,71 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,3:50 AM,46 °F,36 °F,66 %,W,10 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
2017-12-07,4:20 AM,46 °F,36 °F,66 %,W,8 mph,0 mph,29.93 in,0.0 in,Mostly Cloudy
