Date       ,Time     ,Temperature ,Dew Point ,Humidity ,Wind ,Wind Speed ,Wind Gust ,Pressure ,Precip. ,Condition
2011-01-01 ,9:20 PM  ,37 °F       ,34 °F     ,87 %     ,CALM ,0 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-01 ,9:50 PM  ,39 °F       ,34 °F     ,81 %     ,WSW  ,1 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-01 ,10:20 PM ,37 °F       ,34 °F     ,87 %     ,WSW  ,1 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-01 ,10:50 PM ,37 °F       ,0 °F      ,81 %     ,CALM ,0 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-01 ,11:20 PM ,45 °F       ,34 °F     ,66 %     ,VAR  ,3 mph      ,23 mph    ,29.72 in ,0.0 in  ,Fair
2011-01-01 ,11:50 PM ,39 °F       ,0 °F      ,75 %     ,CALM ,0 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-01 ,12:20 AM ,39 °F       ,34 °F     ,81 %     ,CALM ,0 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-02 ,12:50 AM ,37 °F       ,0 °F      ,81 %     ,CALM ,0 mph      ,0 mph     ,29.72 in ,0.0 in  ,Fair
2011-01-02 ,1:20 AM  ,37 °F       ,0 °F      ,81 %     ,CALM ,0 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,1:50 AM  ,37 °F       ,30 °F     ,75 %     ,CALM ,0 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,2:20 AM  ,36 °F       ,30 °F     ,81 %     ,CALM ,0 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,2:50 AM  ,39 °F       ,30 °F     ,70 %     ,S    ,2 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,3:20 AM  ,39 °F       ,30 °F     ,70 %     ,S    ,3 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,3:50 AM  ,39 °F       ,28 °F     ,65 %     ,S    ,2 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,4:20 AM  ,37 °F       ,30 °F     ,75 %     ,VAR  ,1 mph      ,0 mph     ,29.70 in ,0.0 in  ,Fair
2011-01-02 ,4:50 AM  ,39 °F       ,30 °F     ,70 %     ,VAR  ,1 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,5:20 AM  ,37 °F       ,30 °F     ,75 %     ,S    ,1 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,5:50 AM  ,41 °F       ,30 °F     ,65 %     ,S    ,2 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,6:20 AM  ,41 °F       ,30 °F     ,65 %     ,S    ,2 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,6:50 AM  ,39 °F       ,30 °F     ,70 %     ,VAR  ,1 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,7:20 AM  ,37 °F       ,28 °F     ,70 %     ,VAR  ,1 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,7:50 AM  ,39 °F       ,30 °F     ,70 %     ,VAR  ,2 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,8:20 AM  ,41 °F       ,30 °F     ,65 %     ,S    ,5 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
2011-01-02 ,8:50 AM  ,41 °F       ,30 °F     ,65 %     ,S    ,3 mph      ,0 mph     ,29.67 in ,0.0 in  ,Fair
